"","Menor 01 ano","01 a 04 anos","05 a 09 anos","10 a 14 anos","15 a 19 anos","20 a 29 anos","30 a 39 anos","40 a 49 anos","50 a 59 anos","60 a 69 anos","70 a 79 anos","80 anos e mais"
"X2016.Jan",35,44,38,16,11,20,29,35,50,46,53,45
"X2016.Fev",34,42,31,17,8,21,18,19,37,55,49,36
"X2016.Mar",36,52,30,15,10,23,31,18,45,53,55,58
"X2016.Abr",39,37,24,18,17,24,22,33,37,51,54,46
"X2016.Mai",31,53,33,11,15,30,28,28,33,58,53,50
"X2016.Jun",37,57,25,24,14,19,21,30,46,53,51,68
"X2016.Jul",57,69,60,24,13,27,20,24,54,61,42,61
"X2016.Ago",66,69,63,19,14,23,27,25,46,55,47,33
"X2016.Set",65,87,84,26,15,26,23,20,62,49,37,62
"X2016.Out",62,131,114,41,16,39,24,37,43,46,56,56
"X2016.Nov",62,89,85,34,12,31,20,33,40,61,59,53
"X2016.Dez",63,83,75,29,15,29,27,22,40,55,51,53
"X2017.Jan",56,49,47,29,15,29,35,35,46,44,44,49
"X2017.Fev",31,41,26,14,11,25,31,31,44,48,48,39
"X2017.Mar",32,58,31,18,18,33,29,42,58,73,66,61
"X2017.Abr",33,44,37,21,11,16,23,25,39,53,56,70
"X2017.Mai",45,45,32,21,16,26,25,27,62,63,66,66
"X2017.Jun",43,44,39,21,16,25,30,31,49,46,61,62
"X2017.Jul",56,54,40,27,15,13,30,41,42,43,51,69
"X2017.Ago",55,79,69,32,23,29,22,26,56,70,39,64
"X2017.Set",52,80,83,30,19,22,27,35,39,63,58,59
"X2017.Out",71,80,102,50,19,34,34,25,44,46,54,50
"X2017.Nov",57,81,90,49,15,23,30,27,44,56,56,56
"X2017.Dez",43,61,55,26,15,31,28,39,40,61,51,69
"X2018.Jan",24,43,42,30,21,44,32,41,61,62,57,57
"X2018.Fev",19,39,27,22,11,22,25,33,36,53,44,47
"X2018.Mar",38,56,24,16,7,31,41,34,55,53,55,73
"X2018.Abr",36,43,24,15,12,20,29,29,54,54,64,47
"X2018.Mai",35,58,31,23,11,29,43,34,49,68,48,59
"X2018.Jun",35,49,19,26,12,23,22,30,46,75,59,75
"X2018.Jul",46,50,41,30,18,21,37,32,53,64,94,65
"X2018.Ago",49,33,36,22,12,27,25,23,54,58,64,64
"X2018.Set",39,41,34,23,9,29,28,40,44,76,51,59
"X2018.Out",47,45,36,29,11,30,27,34,46,62,47,47
"X2018.Nov",28,49,39,32,6,39,24,23,48,50,51,56
"X2018.Dez",30,49,38,17,13,23,17,43,33,55,47,40
"X2019.Jan",27,46,34,27,11,14,26,34,44,59,57,62
"X2019.Fev",24,30,26,22,13,25,24,26,31,59,49,45
"X2019.Mar",69,64,37,20,14,25,29,22,47,51,59,58
"X2019.Abr",84,78,27,23,15,12,21,25,59,60,49,56
"X2019.Mai",45,57,18,26,14,15,29,41,53,67,70,55
"X2019.Jun",34,36,31,28,7,23,30,34,43,77,68,86
"X2019.Jul",40,39,20,25,11,30,33,42,54,58,72,78
"X2019.Ago",33,26,37,30,16,29,32,35,48,73,66,72
"X2019.Set",21,28,38,39,23,20,27,41,54,69,52,79
"X2019.Out",38,25,27,35,13,30,30,31,45,70,68,58
"X2019.Nov",26,37,28,26,12,30,41,36,37,61,43,83
"X2019.Dez",19,29,26,10,17,17,28,32,38,70,55,76
"X2020.Jan",23,25,21,23,18,24,39,30,47,49,56,52
"X2020.Fev",22,40,25,18,9,24,31,30,57,50,59,49
"X2020.Mar",20,24,19,15,8,27,24,37,35,54,49,54
"X2020.Abr",11,6,5,10,5,16,15,33,28,36,47,45
"X2020.Mai",9,6,8,8,3,19,21,17,43,48,40,47
"X2020.Jun",8,6,13,6,7,15,19,26,32,49,43,35
"X2020.Jul",7,10,6,11,7,19,16,31,32,40,42,36
"X2020.Ago",7,11,7,17,9,18,16,26,46,46,44,37
"X2020.Set",8,10,14,21,10,19,17,22,36,39,36,40
"X2020.Out",16,10,17,10,6,14,22,23,27,44,52,32
"X2020.Nov",10,7,10,11,6,12,18,16,27,40,22,32
"X2020.Dez",14,10,11,14,10,7,20,21,28,41,36,36
"X2021.Jan",13,10,11,20,2,13,15,16,30,43,37,26
"X2021.Fev",22,10,10,18,6,9,18,12,29,29,32,39
"X2021.Mar",12,13,10,9,4,8,17,17,20,36,36,31
"X2021.Abr",13,18,6,12,3,10,9,24,26,22,35,31
"X2021.Mai",5,13,2,4,1,5,10,4,14,17,7,6
